Id,Title,Summary,Date,Link,
1,Indian IT professionals to benefit as Biden lets Trump era H-1B visa bans expire,No new proclamation was issued by Biden till Wednesday mid-night^ resulting in the automatic end to the ban on issuing of fresh H-1B visas,01 Apr 2021,https://www.indiatoday.in/world/america/010421/indian-it-professionals-to-benefit-as-biden-lets-trump-era-h-1b-visa-b.html
2,Trump plans social media return with his own platform,Twitter last week said it would seek public input on when and how it should ban world leaders^ saying it was reviewing policy,24 Mar 2021,https://www.indiatoday.in/world/america/240321/trump-plans-social-media-return-with-his-own-platform.html
3,India^ US agree to re-establish Homeland Security Dialogue,An initiative of the Obama administration^ the first India-US Homeland Security Dialogue was held in May 2011,24 Mar 2021,https://www.indiatoday.in/world/america/240321/india-us-agree-to-re-establish-homeland-security-dialogue.html
4,Colorado supermarket shooter kills 10^ including police officer,Police said the suspected gunman was believed to be the only individual with serious injuries who survived the bloodshed,23 Mar 2021,https://www.indiatoday.in/world/america/230321/colorado-supermarket-shooter-kills-10-including-police-officer.html
5,US^ China spar over world order during their first meeting under Biden,The relations between the US and China are at an all-time low,19 Mar 2021,https://www.indiatoday.in/world/america/190321/us-china-spar-over-world-order-during-their-first-meeting-under-biden.html
6,Georgia massage parlor shootings leave 8 dead,Four of the victims who died were women of Korean descent^ as a 21-year-old man suspected in the shootings was taken into custody,17 Mar 2021,https://www.indiatoday.in/world/america/170321/georgia-massage-parlor-shootings-leave-8-dead.html
7,Biden tells migrants 'don't come' as criticism grows,Republican critics say Biden's policies caused a sharp increase in migrants seeking to cross into the US illegally,17 Mar 2021,https://www.indiatoday.in/world/america/170321/biden-tells-migrants-dont-come-as-criticism-grows.html
8,Satya Nadella^ US lawmakers appalled by ongoing acts of hate against Asian Americans,More than 3^000 incidents of abuse against Asian Americans were reported between March and December 2020,13 Mar 2021,https://www.indiatoday.in/world/america/130321/satya-nadella-us-lawmakers-appalled-by-ongoing-acts-of-hate-against-a.html
9,Biden announces all Americans to be eligible for COVID-19 vaccination by May 1,The US is the worst-hit country with the world's highest number of cases and deaths at 29^150^068 and 529^102^ respectively,12 Mar 2021,https://www.indiatoday.in/world/america/120321/biden-announces-all-americans-to-be-eligible-for-covid-19-vaccination.html
10,Judge OKs 3rd-degree murder charge for ex-cop in Floyd death,Floyd was declared dead on May 25 after Chauvin^ who is white^ pressed his knee against the Black man's neck for about nine minutes,11 Mar 2021,https://www.indiatoday.in/world/america/110321/judge-oks-3rd-degree-murder-charge-for-ex-cop-in-floyd-death.html
11,US will share COVID-19 vaccine if it has surplus: Biden,We are going to start off making sure Americans are taken care of first but we are then going to try to help the rest of the world^ he said,11 Mar 2021,https://www.indiatoday.in/world/america/110321/us-will-share-covid-19-vaccine-if-it-has-surplus-biden.html
12,US warns China ahead of Quadâs first leadersâ summit in virtual format,The common denominator in what we talked about China is that we will engage it from a position of strength,11 Mar 2021,https://www.indiatoday.in/world/america/110321/us-warns-china-ahead-of-quads-first-leaders-summit-in-virtual-fo.html
13,Indian-Americans taking over US^ says Biden at NASA meet,The Biden administration has for the first time appointed such a large number of Indian-Americans in the first 50 days of his administration,05 Mar 2021,https://www.indiatoday.in/world/america/050321/indian-americans-taking-over-us-says-biden-at-nasa-meet.html
14,Legislation on H-1B visas introduced in US Congress,Given that the Democrats have a majority in the House of Representatives^ the bill has little chance to be passed,04 Mar 2021,https://www.indiatoday.in/world/america/040321/legislation-on-h-1b-visas-introduced-in-us-congress.html
15,Will ensure that America not China sets the international agenda: White House,The comments were made in the Biden administration's Interim National Security Strategic Guidance released on Wednesday,04 Mar 2021,https://www.indiatoday.in/world/america/040321/will-ensure-that-america-not-china-sets-the-international-agenda-whit.html
16,Trump may run for 2024; says we've gone from America first to America last in 1 month,In his speech^ the former president reiterated his allegation that there was massive electoral fraud in the 2020 presidential elections,01 Mar 2021,https://www.indiatoday.in/world/america/010321/trump-may-run-for-2024-says-weve-gone-from-america-first-to-america.html
17,US in mourning over 500^000 COVID deaths^ UK sees hope,Unlike his predecessor Donald Trump^ who often sought to minimize the disease^ Biden has made the pandemic his top priority,23 Feb 2021,https://www.indiatoday.in/world/america/230221/us-in-mourning-over-500000-covid-deaths-uk-sees-hope.html
18,US Citizenship Bill to help many Indians,Authors of the bill told reporters that the bill establishes a moral and economic imperative and a vision of immigration reform,20 Feb 2021,https://www.indiatoday.in/world/america/200221/us-citizenship-bill-to-help-indian-techies.html
19,Indian-American scientist Swati Mohan played key role in NASA Mars rover landing,As the team's operations lead^ I am the primary point of communication between the GN&C subsystem and the rest of the project^ said Mohan,19 Feb 2021,https://www.indiatoday.in/world/190221/indian-american-scientist-swati-mohan-played-key-role-in-nasa-mars-rov.html
20,US omits mention of China in its statement after Quad virtual meet,The four ministers discussed countering disinformation^ terrorism^ maritime security^ need to restore democratic government in Myanmar,19 Feb 2021,https://www.indiatoday.in/nation/politics/190221/us-omits-mention-of-china-in-its-statement-after-quad-virtual-meet.html
21,Texas outages below half-million but water crisis persists,More than 320^000 homes and businesses were without power in Louisiana^ Mississippi and Alabama,18 Feb 2021,https://www.indiatoday.in/world/america/180221/texas-outages-below-half-million-but-water-crisis-persists.html
22,Speaker Pelosi proposes 9/11-type commission to probe US Capitol storming,The Republican former president was accused of inciting riots in the Capitol which left five people^ including a police officer^ dead,16 Feb 2021,https://www.indiatoday.in/world/america/160221/speaker-pelosi-proposes-911-type-commission-to-probe-us-capitol-storm.html
